,FOXD2 (2306)
ACH-001193,-0.10182699612564404
ACH-001196,-0.1846326130330738
ACH-001197,-0.2294710247612071
ACH-001205,0.10322646502879762
ACH-001211,0.002369924122452034
ACH-001212,-0.22024820503103787
ACH-001228,-0.15926425584513088
ACH-001232,-0.15008662194238398
ACH-001239,-0.1915662361765979
ACH-001270,-0.2772798408000587
ACH-001274,-0.19049157952555584
ACH-001275,-0.09732756568913113
ACH-001277,-0.09909058964222696
ACH-001278,0.08161778620495072
ACH-001280,0.1570178317486715
ACH-001283,-0.2998719751681762
ACH-001289,-0.059548436761664235
ACH-001300,-0.1174862905190824
ACH-001301,-0.08520251560789655
ACH-001302,0.021589150354276568
ACH-001306,-0.1907978917604216
ACH-001318,-0.2406634109630839
ACH-001322,-0.03739573056706482
ACH-001328,-0.4276318302415788
ACH-001332,-0.01813775158144752
ACH-001336,-0.22975877375892698
ACH-001346,-0.09029538576989186
ACH-001353,-0.19180389042396528
ACH-001354,-0.4474811363715974
ACH-001367,-0.07292038045562509
ACH-001368,-0.06431808371397663
ACH-001374,-0.09686426926428553
ACH-001377,-0.08909829581887325
ACH-001380,-0.13208799941561955
ACH-001391,-0.09388074254404756
ACH-001408,-0.08029562261915439
ACH-001430,-0.07077622699011014
ACH-001431,-0.1978398570148332
ACH-001450,-0.26121568536466583
ACH-001496,-0.22061810167411874
ACH-001500,0.007600610914901856
ACH-001523,-0.11534202957911666
ACH-001532,0.08399257181966184
ACH-001550,-0.2221505367283753
ACH-001552,-0.05338420247713541
ACH-001554,-0.1508856022871528
ACH-001654,-0.14465801037591847
ACH-001735,-0.111803555296997
ACH-001736,-0.08295352712327632
ACH-001737,-0.16752068430766087
ACH-001740,-0.28275977730157026
ACH-001745,-0.1356274513534816
ACH-001765,-0.12127384468279682
