,PLXNB2 (23654)
ACH-000948,0.13252713499759505
ACH-000950,0.045316796631299575
ACH-000953,0.013981501515822926
ACH-000954,0.3632425358064845
ACH-000957,0.16314113656102178
ACH-000958,0.14724104340065855
ACH-000960,0.08260089476715829
ACH-000963,0.02321987001385999
ACH-000968,0.11660276205461585
ACH-000969,0.2369011919159295
ACH-000972,0.07288657068716035
ACH-000973,0.12097004951100684
ACH-000974,0.11581876971599055
ACH-000978,0.06396371665973026
ACH-000984,0.08808501597947177
ACH-000986,-0.00565844742935313
ACH-000988,0.09914050266248596
ACH-000993,-0.015385249461669503
ACH-000994,-0.11699179335746647
ACH-000996,0.002467116647582941
ACH-001001,0.14454567121453069
ACH-001020,0.11511364070008688
ACH-001028,0.12773913128689865
ACH-001031,0.2920320981392324
ACH-001038,0.09478858709801953
ACH-001048,0.13979090204675354
ACH-001050,0.3483466298463472
ACH-001053,0.07899748045567541
ACH-001054,0.2681085303768466
ACH-001061,0.1592666754489601
ACH-001067,-0.009806884311044171
ACH-001075,0.15120311220480318
ACH-001096,0.13526480453026626
ACH-001111,-0.11031797586210863
ACH-001119,0.14142532778968978
ACH-001128,-0.153041112272962
ACH-001134,0.14333152598785093
ACH-001151,0.13931689246664736
ACH-001163,0.04219921146862212
ACH-001164,0.14798015092938266
ACH-001183,-0.09128072657964498
ACH-001192,0.13743028965810308
ACH-001193,-0.07834847056207653
ACH-001196,0.08718874807463503
ACH-001197,-0.06681827069401243
ACH-001205,0.030694795209216686
ACH-001211,0.21284144408880154
ACH-001212,0.3349833278447919
ACH-001228,-0.026996174284832943
ACH-001232,0.16129727632387908
ACH-001239,0.018174986382712685
ACH-001270,0.08500236292338106
ACH-001274,0.03981453058797056
ACH-001275,0.14690358119930005
ACH-001277,0.12487950377065228
ACH-001278,0.11191445660753704
ACH-001280,0.09044274694522328
ACH-001283,0.15169331426638688
ACH-001289,0.054085498209697776
ACH-001300,-0.0395043992904282
ACH-001301,0.005390933461988838
ACH-001302,0.13115905266561093
ACH-001306,0.13756024517370394
ACH-001318,0.1333857017974823
ACH-001322,0.33835381210522875
ACH-001328,0.03496699511904745
ACH-001332,0.191105139087603
ACH-001336,0.1304969832225972
ACH-001346,0.02029118405011478
ACH-001353,0.3064822786727203
ACH-001354,0.06156299747868761
ACH-001367,0.2528392130515144
ACH-001368,-0.08568636337431595
ACH-001374,0.19920820408774675
ACH-001377,-0.03309744704141584
ACH-001380,0.2754823077374227
ACH-001391,0.14427877637874809
ACH-001408,0.14969022608755908
ACH-001430,0.1652341762357356
ACH-001431,0.01911767916982532
ACH-001450,0.029002819246946844
ACH-001496,0.0035736828201392507
ACH-001500,0.2327518719911143
ACH-001523,0.3139233511088801
ACH-001532,-0.008198252581295683
ACH-001550,0.11020248626886467
ACH-001552,0.3230654316393542
ACH-001554,0.10229441381889658
ACH-001654,0.10427362990884592
ACH-001735,0.06266169331029274
ACH-001736,-0.009592128172485705
ACH-001737,-0.04714429512698429
ACH-001740,0.17660648866123538
ACH-001745,0.2210880280545167
ACH-001765,0.09200377066684626
