,STEAP3 (55240)
ACH-001061,-0.0025112312094752853
ACH-001067,-0.17980083106311526
ACH-001075,-0.13484133451923286
ACH-001096,-0.18945699135178468
ACH-001111,-0.11066911771288446
ACH-001119,0.010286536970626587
ACH-001128,-0.3796313714434417
ACH-001134,0.0058362111750692785
ACH-001151,-0.1968041207025073
ACH-001163,-0.09796552637508604
ACH-001164,0.02736898658611036
ACH-001183,-0.06306775203239133
ACH-001192,-0.20379617986153284
ACH-001193,0.03363670207426278
ACH-001196,-0.1856243477679764
ACH-001197,-0.2484753228116978
ACH-001205,0.045584187531677686
ACH-001211,-0.2894465465969367
ACH-001212,-0.19711783072924915
ACH-001228,-0.21211849445489026
ACH-001232,-0.14048924459562842
ACH-001239,-0.19089961739846734
ACH-001270,-0.3939181395345382
ACH-001274,-0.15743455676834198
ACH-001275,-0.1946352850317215
ACH-001277,-0.23935329089893406
ACH-001278,0.03380530665647292
ACH-001280,0.017796440293921873
ACH-001283,-0.1214969328598132
ACH-001289,-0.04343800523841123
ACH-001300,0.06496134046779335
ACH-001301,-0.04709310557608496
ACH-001302,0.1831913616447375
ACH-001306,-0.1616022848751318
ACH-001318,-0.349440636597142
ACH-001322,0.02316507867276888
ACH-001328,-0.035557115956192736
ACH-001332,-0.3839848436389432
ACH-001336,-0.06609788598720145
ACH-001346,-0.15061001507017396
ACH-001353,-0.2370879092477097
ACH-001354,0.03878481465870949
ACH-001367,-0.1896296238284573
ACH-001368,-0.04080505967331127
ACH-001374,0.08097612861716627
ACH-001377,-0.12401448345512835
ACH-001380,-0.07285448990789219
ACH-001391,-0.024568581163534168
ACH-001408,-0.014637497566581947
ACH-001430,-0.0562297474069962
ACH-001431,-0.10076104139543043
ACH-001450,-0.09587846398373788
ACH-001496,-0.29347710633673985
ACH-001500,-0.2903893598006513
ACH-001523,-0.2270346332206223
ACH-001532,-0.24552683760478214
ACH-001550,-0.06266819323626073
ACH-001552,-0.045937139176040594
ACH-001554,-0.2976994715704869
ACH-001654,0.008765260087988329
ACH-001735,-0.3644184869158938
ACH-001736,-0.7332290240488251
ACH-001737,0.2744647012593964
ACH-001740,-0.07175113471993272
ACH-001745,-0.14477347968851048
ACH-001765,-0.0939385375658046
