,GLIS1 (148979)
ACH-000948,-0.1974037362841834
ACH-000950,0.1543471977622276
ACH-000953,-0.08472736915380698
ACH-000954,0.0980941349975364
ACH-000957,0.027948492598037947
ACH-000958,-0.10131311714322667
ACH-000960,-0.14707839306926007
ACH-000963,0.0162449884353637
ACH-000968,-0.1285517296451869
ACH-000969,-0.12978982066896036
ACH-000972,0.006041135154746054
ACH-000973,-0.10986095585585387
ACH-000974,-0.06879083602558064
ACH-000978,-0.2039875413812471
ACH-000984,-0.018594946637452883
ACH-000986,-0.08796899239190438
ACH-000988,-0.13661949902630274
ACH-000993,0.039626902206058516
ACH-000994,-0.15345422380152013
ACH-000996,-0.1340950800143909
ACH-001001,-0.06985584962636747
ACH-001020,-0.055450568571008683
ACH-001028,-0.002832115851897186
ACH-001031,0.1945794855234563
ACH-001038,-0.05977067731619867
ACH-001048,0.06733318589410746
ACH-001050,-0.07375029865696482
ACH-001053,-0.045939060678474905
ACH-001054,-0.13963166045025668
ACH-001061,-0.03729792743588795
ACH-001067,-0.21227336782064465
ACH-001075,-0.07448437762242187
ACH-001096,0.09529535524180034
ACH-001111,0.06447266821685321
ACH-001119,-0.10829072801100767
ACH-001128,-0.09372938111881872
ACH-001134,-0.12907673007589995
ACH-001151,0.07007108073332607
ACH-001163,-0.06731814496681371
ACH-001164,-0.18841700657532065
ACH-001183,0.058115164058437314
ACH-001192,-0.12705272514122326
ACH-001193,-0.17571847858157782
ACH-001196,-0.0584195720674695
ACH-001197,0.15347130705831855
ACH-001205,0.14535012796262242
ACH-001211,-0.19701638842626493
ACH-001212,-0.10373752668974363
ACH-001228,-0.04395282424920377
ACH-001232,-0.15471734152501904
ACH-001239,-0.04371352683703855
ACH-001270,0.06902919620735654
ACH-001274,-0.1078150533826172
ACH-001275,0.29408201694989544
ACH-001277,-0.1873124903170608
ACH-001278,-0.06233432542032372
ACH-001280,-0.14186782138964482
ACH-001283,0.07023994319119911
ACH-001289,0.07042262724117307
ACH-001300,0.001510266720940286
ACH-001301,-0.2860269858462518
ACH-001302,0.003641290600969728
ACH-001306,0.012175243096191436
ACH-001318,-0.010839838379854135
ACH-001322,-0.059614055901558535
ACH-001328,-0.02095210348146254
ACH-001332,-0.14141435783916248
ACH-001336,-0.03795335151995171
ACH-001346,-0.08928715780772302
ACH-001353,-0.06626409318653696
ACH-001354,-0.00917306991255867
ACH-001367,0.11725812394448025
ACH-001368,-0.058019423210945185
ACH-001374,0.036044156066454495
ACH-001377,-0.24626544001633202
ACH-001380,-0.006378739780054111
ACH-001391,-0.054995403936876304
ACH-001408,-0.0076221873959872455
ACH-001430,0.1815879605494235
ACH-001431,-0.05966507336079298
ACH-001450,-0.21305952902529396
ACH-001496,-0.07959098797072768
ACH-001500,0.13145220712978364
ACH-001523,-0.16659297317558772
ACH-001532,0.07580491458581913
ACH-001550,-0.08589017974203204
ACH-001552,-0.08170040469047166
ACH-001554,-0.0240536035535987
ACH-001654,0.03741983373119307
ACH-001735,-0.029767011012100174
ACH-001736,-0.1530012663106579
ACH-001737,0.019766966658513036
ACH-001740,0.062360830065720636
ACH-001745,0.02744911281998546
ACH-001765,-0.06037086715512278
