,IPPK (64768)
ACH-001353,-0.3461104902262243
ACH-001354,-0.3688619020847119
ACH-001367,-0.4541886701210842
ACH-001368,-0.6752176623974634
ACH-001374,-0.2494879485372296
ACH-001377,0.0600886400208068
ACH-001380,-0.5422949795870534
ACH-001391,-0.2362903782313247
ACH-001408,-0.33735216140877444
ACH-001430,-0.055363993961326484
ACH-001431,-0.2818887779498079
ACH-001450,-0.5024958181881374
ACH-001496,-0.8129026804814878
ACH-001500,-0.24782710631637214
ACH-001523,-0.06264475250765117
ACH-001532,-0.3692410030141816
ACH-001550,-0.2169664540137788
ACH-001552,-0.1549778365016878
ACH-001554,-0.4124462285005129
ACH-001654,-0.191982069516388
ACH-001735,-0.4912848709960621
ACH-001736,-0.27098217024283444
ACH-001737,-0.505653214432733
ACH-001740,-0.4210793025422003
ACH-001745,-0.3345127212108818
ACH-001765,-0.3014620330401323
