,TMEM95 (339168)
ACH-001050,-0.10492440856453177
ACH-001053,-0.15446734709531051
ACH-001054,0.04282382072387693
ACH-001061,-0.055815005287807626
ACH-001067,-0.18899547626375002
ACH-001075,0.10056629885373576
ACH-001096,-0.00020753590174931341
ACH-001111,0.0945961584119864
ACH-001119,0.03965140502563952
ACH-001128,-0.2895799499705872
ACH-001134,0.008233395377421564
ACH-001151,-0.06525639826717182
ACH-001163,-0.17164026244136316
ACH-001164,0.07652248959755839
ACH-001183,-0.012146038720413112
ACH-001192,0.05386159095646873
ACH-001193,-0.2887349300817642
ACH-001196,0.10290836519116986
ACH-001197,-0.04122497126413625
ACH-001205,-0.18150251009636734
ACH-001211,0.03535863393093898
ACH-001212,0.16593779270372178
ACH-001228,-0.053656599301120336
ACH-001232,-0.02646687387998712
ACH-001239,0.03289270432272857
ACH-001270,-0.08990510266157775
ACH-001274,0.049551193880917666
ACH-001275,0.059052655881982975
ACH-001277,-0.006243859859111264
ACH-001278,-0.12456782760356347
ACH-001280,-0.06920715814693945
ACH-001283,-0.14039459112353558
ACH-001289,-0.18034938049442248
ACH-001300,-0.004458563429593138
ACH-001301,0.0501996082770404
ACH-001302,-0.0017026996037179394
ACH-001306,-0.05949460185156906
ACH-001318,-0.04646573511521949
ACH-001322,0.007777539334753455
ACH-001328,-0.07710512525207681
ACH-001332,-0.04434509509875294
ACH-001336,0.06080834880271034
ACH-001346,-0.012106225803522582
ACH-001353,-0.131111385484265
ACH-001354,-0.025529871937102516
ACH-001367,-0.14092400092667107
ACH-001368,-0.0022253660961041393
ACH-001374,-0.2519453679790844
ACH-001377,-0.014680046256202891
ACH-001380,-0.1633388497949636
ACH-001391,0.01710833510283371
ACH-001408,-0.08029282413092914
ACH-001430,-0.050215607825486806
ACH-001431,-0.03173987445849577
ACH-001450,-0.20547275065208104
ACH-001496,0.04074897702961952
ACH-001500,0.026834596016610018
ACH-001523,0.003676507944460667
ACH-001532,0.012395626831621022
ACH-001550,0.0009427539810745773
ACH-001552,-0.07362645055021767
ACH-001554,-0.029284455888580564
ACH-001654,-0.029856451772792586
ACH-001735,-0.15228528625743548
ACH-001736,-0.03681649240525939
ACH-001737,-0.2228699613492493
ACH-001740,-0.048386113057102144
ACH-001745,0.106021191826296
ACH-001765,-0.04951076278964369
