,IGFN1 (91156)
ACH-001336,-0.09182417145248316
ACH-001346,-0.037234846034781166
ACH-001353,-0.06989973159431298
ACH-001354,-0.12829327684049766
ACH-001367,0.07424062218843479
ACH-001368,-0.2092394446621629
ACH-001374,0.09404157995232476
ACH-001377,-0.11046774730523742
ACH-001380,0.016342292465570764
ACH-001391,-0.20745387869282544
ACH-001408,0.10708340250584766
ACH-001430,0.15443382224655686
ACH-001431,-0.04294414588057116
ACH-001450,-0.08219060217684067
ACH-001496,0.0242077905439148
ACH-001500,-0.00418412045969406
ACH-001523,-0.1144951462013608
ACH-001532,0.0008007635426979157
ACH-001550,0.00119205177568882
ACH-001552,0.17202532615652047
ACH-001554,-0.056461223038434136
ACH-001654,-0.0862964484742454
ACH-001735,-0.05177562480728942
ACH-001736,-0.02002768212216427
ACH-001737,0.2660998398781039
ACH-001740,-0.13708245048613368
ACH-001745,-0.02158744667258545
ACH-001765,-0.02790617087553809
