,CORO7 (79585)
ACH-001332,-0.1942559820130375
ACH-001336,-0.125667202082136
ACH-001346,-0.04260581270632957
ACH-001353,-0.044984389629265965
ACH-001354,0.008554652396813377
ACH-001367,0.08697749515904384
ACH-001368,-0.1402433604420123
ACH-001374,-0.08499222307222276
ACH-001377,-0.09695593914398733
ACH-001380,0.012609096727786859
ACH-001391,-0.08878092276393676
ACH-001408,-0.11281394732521928
ACH-001430,0.04298999245116295
ACH-001431,-0.2050817620517871
ACH-001450,0.10520337545739482
ACH-001496,-0.12884810730892587
ACH-001500,-0.20117647756823076
ACH-001523,-0.16361366635770633
ACH-001532,-0.1891341591922296
ACH-001550,-0.05276399151693058
ACH-001552,-0.22500156956295028
ACH-001554,-0.08509516671834542
ACH-001654,-0.07149296719473283
ACH-001735,-0.07504783422257245
ACH-001736,-0.16977616228179415
ACH-001737,0.04551266829936973
ACH-001740,-0.11204157005354493
ACH-001745,-0.06728891164194392
ACH-001765,-0.15433503092910028
