,CYP4F12 (66002)
ACH-001300,-0.24147036142449266
ACH-001301,-0.18565394189660686
ACH-001302,-0.21657126065648274
ACH-001306,-0.08763697926873751
ACH-001318,-0.25332490515800604
ACH-001322,-0.013640345864658085
ACH-001328,0.002599240105378127
ACH-001332,-0.10968042952829968
ACH-001336,-0.014292074202609572
ACH-001346,-0.14178681453651445
ACH-001353,-0.15172470562638193
ACH-001354,0.24054726002064816
ACH-001367,-0.043772101558239865
ACH-001368,-0.023831623743773248
ACH-001374,0.17049798477044367
ACH-001377,-0.13319096701254776
ACH-001380,-0.15268072983578554
ACH-001391,-0.1912704332789991
ACH-001408,-0.06690550476683282
ACH-001430,-0.001465455922360357
ACH-001431,-0.08984005799357668
ACH-001450,0.09417884763291216
ACH-001496,-0.11760731287826127
ACH-001500,-0.023517354740067425
ACH-001523,-0.016339503071831102
ACH-001532,0.023512374290435768
ACH-001550,-0.08349427490674304
ACH-001552,-0.1577715230132989
ACH-001554,-0.06923821827124416
ACH-001654,-0.06484722287833837
ACH-001735,-0.18152590416231407
ACH-001736,0.0161357430047954
ACH-001737,0.216115496144548
ACH-001740,-0.11633349205160227
ACH-001745,-0.1710446452896112
ACH-001765,-0.003290068687851432
