,AP1S3 (130340)
ACH-001431,-0.183912847365
ACH-001450,-0.0429640710163
ACH-001496,-0.197481528749
ACH-001500,-0.252223723156
ACH-001521,-0.26833523403000004
ACH-001523,-0.245416317954
ACH-001532,-0.299621920937
ACH-001536,-0.241347092163
ACH-001550,-0.242534549124
ACH-001552,-0.18921673080499998
ACH-001554,-0.239936964166
ACH-001645,-0.356032166226
ACH-001654,-0.218063259712
ACH-001715,-0.189462104314
ACH-001735,-0.139430150319
ACH-001736,-0.0801345882501
ACH-001737,0.1756312129
ACH-001740,-0.09032438547700002
ACH-001745,-0.20316585708
ACH-001750,-0.245203558711
ACH-001765,-0.291303894795
ACH-001956,-0.114623012112
ACH-001957,-0.41654075460699996
