,IL1RL1 (9173)
ACH-001322,0.0137925913845
ACH-001328,0.136761005206
ACH-001332,0.0421835421258
ACH-001333,0.134064473705
ACH-001336,0.0103609561251
ACH-001340,0.15493825843
ACH-001346,0.0661116668116
ACH-001353,0.176750075638
ACH-001354,0.311083900519
ACH-001367,0.290382779522
ACH-001368,0.0620014242811
ACH-001374,0.34100760090599996
ACH-001375,0.318781720294
ACH-001377,0.127961177737
ACH-001380,0.105503744255
ACH-001391,0.185130472056
ACH-001407,0.21629046112199998
ACH-001408,0.10865646348500001
ACH-001413,0.0675826074163
ACH-001430,0.24922321089699997
ACH-001431,0.112688756357
ACH-001450,0.09047483900689998
ACH-001496,0.0757132653741
ACH-001500,0.103860080341
ACH-001521,0.21079770914999998
ACH-001523,0.167371476429
ACH-001532,0.14153189731
ACH-001536,0.261964019436
ACH-001550,0.171962574318
ACH-001552,0.327250290757
ACH-001554,0.133444758467
ACH-001645,-0.030333537694099997
ACH-001654,0.216062805308
ACH-001715,0.047583879357500004
ACH-001735,0.154350432745
ACH-001736,0.209783398298
ACH-001737,0.0191329787189
ACH-001740,0.14135228117
ACH-001745,0.185141078246
ACH-001750,0.111673371402
ACH-001765,0.0338858724646
ACH-001956,0.13956257498400002
ACH-001957,0.076580835974
