,DHTKD1 (55526)
ACH-001054,0.125300325283
ACH-001061,0.16573471422
ACH-001067,-0.014856579925500001
ACH-001075,0.162903326404
ACH-001096,0.0910486599217
ACH-001128,1.2174350785799999
ACH-001134,0.0905127320983
ACH-001151,0.157679982759
ACH-001163,0.268121677479
ACH-001164,0.314737268393
ACH-001173,0.18032978618099998
ACH-001183,0.21270274619
ACH-001184,0.013405932264399999
ACH-001190,0.26562169321400003
ACH-001192,0.26810030724100004
ACH-001193,0.515149678054
ACH-001196,0.263877570737
ACH-001197,0.0414669845649
ACH-001205,0.177207950811
ACH-001211,0.428815758915
ACH-001212,0.26829374640500003
ACH-001228,0.272868016097
ACH-001232,0.18314902237
ACH-001239,0.15605551960300001
ACH-001274,0.0263812165888
ACH-001275,0.351501852627
ACH-001277,0.5360099285859999
ACH-001278,0.0603596486766
ACH-001280,-0.0943832192769
ACH-001283,0.20144474664
ACH-001289,0.120300412416
ACH-001295,0.08522358964160001
ACH-001300,0.0740609995597
ACH-001301,0.090595072142
ACH-001302,0.172387820929
ACH-001303,0.0843884745311
ACH-001306,0.11456990453299999
ACH-001318,0.243703248026
ACH-001322,0.09415265171210001
ACH-001328,0.16474900581
ACH-001332,0.48839902452399997
ACH-001333,0.20978180114199999
ACH-001336,0.292389421938
ACH-001340,0.119697968031
ACH-001346,0.19273131534600002
ACH-001353,0.11462865752000001
ACH-001354,0.21737897887200003
ACH-001367,0.205510952848
ACH-001368,0.176869317748
ACH-001374,0.419975246189
ACH-001375,0.119360917566
ACH-001377,0.07601216267460001
ACH-001380,0.13586829286
ACH-001391,-0.0230339201635
ACH-001407,0.27658125617199997
ACH-001408,0.267659371752
ACH-001413,0.299485483172
ACH-001430,0.27459166232
ACH-001431,0.10623428306
ACH-001450,0.314601520596
ACH-001496,0.32740323043499997
ACH-001500,0.306664687738
ACH-001521,0.134447136532
ACH-001523,0.296880980795
ACH-001532,0.23526310066199999
ACH-001536,-0.0191887667719
ACH-001550,0.44547177757
ACH-001552,-0.13184895664100002
ACH-001554,0.147688308443
ACH-001645,0.0364827610805
ACH-001654,0.0376153323461
ACH-001715,-0.167530661074
ACH-001735,0.0668761605078
ACH-001736,-0.17559831078899998
ACH-001737,0.0649478938643
ACH-001740,0.22519729752599998
ACH-001745,0.18329325566500002
ACH-001750,0.23879390193000002
ACH-001765,0.26931240765299996
ACH-001956,0.19167831159499998
ACH-001957,0.279663417495
