,IFIT1B (439996)
ACH-000517,0.0039006064305499998
ACH-000518,0.126105988504
ACH-000520,0.033970648946
ACH-000521,0.0848239757158
ACH-000522,0.05319090899119999
ACH-000524,0.011393164653200002
ACH-000527,0.00564614111562
ACH-000528,-0.03601248989980001
ACH-000537,0.049292072580000006
ACH-000541,0.014112355100100001
ACH-000542,-0.0212094416114
ACH-000544,-0.0806388241848
ACH-000545,0.006458777711479999
ACH-000547,0.0507781171166
ACH-000548,-0.101507632754
ACH-000549,-0.0650717632959
ACH-000550,-0.15024425166799998
ACH-000552,0.0961432665505
ACH-000556,-0.08010316656119999
ACH-000557,0.0716881134812
ACH-000570,0.0471407116031
ACH-000571,0.040919819823400004
ACH-000573,-0.0976810301747
ACH-000576,0.081117756975
ACH-000580,0.045930281430400004
ACH-000584,0.0414113411871
ACH-000585,-0.100662067732
ACH-000588,0.19272259989999999
ACH-000589,0.0477598174559
ACH-000591,-0.135675064269
ACH-000593,0.0888079268012
ACH-000600,-0.08532446156739999
ACH-000601,-0.000833324421377
ACH-000604,-0.0213325896717
ACH-000605,-0.0473919825376
ACH-000606,-0.135348904801
ACH-000608,0.08280504141739999
ACH-000614,0.137010314604
ACH-000616,-0.23545900272
ACH-000618,-0.0350138083413
ACH-000619,-0.019972283719599998
ACH-000620,0.081252817144
ACH-000621,-0.022328595762299997
