,STK31 (56164)
ACH-000935,-0.301393409976
ACH-000936,-0.032100880787800004
ACH-000937,0.163344467067
ACH-000938,0.39387824681500005
ACH-000939,0.604920142965
ACH-000941,0.255397524226
ACH-000943,0.0742518448835
ACH-000946,0.00723691678225
ACH-000947,-0.00604272504153
ACH-000948,0.209427113651
ACH-000950,-0.0866403728833
ACH-000953,0.260537745537
ACH-000957,0.166920769408
ACH-000958,-0.025944164394900004
ACH-000960,0.187234593839
ACH-000963,0.341348855703
ACH-000968,0.09056710075919999
ACH-000969,0.173238737456
ACH-000973,0.146414447732
ACH-000974,0.139140712105
ACH-000975,0.301811811099
ACH-000976,0.22510318214400002
ACH-000978,0.055655313319600004
ACH-000980,0.124929541287
ACH-000984,-0.0361821826147
ACH-000986,0.0959865611849
ACH-000988,0.293525693955
ACH-000993,0.0685922650672
ACH-000994,0.182037563601
ACH-000996,0.0138554949664
ACH-001001,0.0559003326688
ACH-001020,0.7251150687510001
ACH-001028,0.12369230103399999
ACH-001031,-0.0670843695333
ACH-001038,0.11964051976199999
ACH-001048,0.0282974709258
ACH-001050,0.31443070261100003
ACH-001053,0.268713596948
ACH-001054,0.13769747234500002
ACH-001061,0.159760110311
ACH-001067,-0.040543058751800004
ACH-001075,0.12698057486199998
ACH-001096,0.177324519676
ACH-001128,1.49181950007
ACH-001134,0.05459324689259999
ACH-001151,0.15196738821900002
ACH-001163,0.19756019085
ACH-001164,0.10149746043999999
ACH-001173,0.136715691496
ACH-001183,0.10291360565799999
ACH-001184,-0.143369396993
ACH-001190,0.257520327523
ACH-001192,-0.0535782162634
ACH-001193,0.13911376001700002
ACH-001196,-0.0123386912478
ACH-001197,0.210630098617
ACH-001205,-0.165116018226
ACH-001211,0.22313871107799998
ACH-001212,0.22520087987100001
ACH-001228,0.0241433447284
ACH-001232,0.289955768287
ACH-001239,0.173391244948
ACH-001274,0.13412164319
ACH-001275,0.154476727886
ACH-001277,0.131592741954
ACH-001278,0.030473377811500002
ACH-001280,0.052406753059099996
ACH-001283,-0.126187469064
ACH-001289,0.0050842358401899995
ACH-001295,0.150231695883
ACH-001300,-0.06598961216850001
ACH-001301,0.11355109865499999
ACH-001302,0.126509711167
ACH-001303,0.34501654806500004
ACH-001306,0.08714052425239999
ACH-001318,0.14241475753
ACH-001322,-0.029145993514099997
ACH-001328,0.20407908408599998
ACH-001332,-0.100943209915
ACH-001333,-0.060079477960199995
ACH-001336,0.0796321882524
ACH-001340,0.171686138001
ACH-001346,0.171020836489
ACH-001353,0.257990477806
ACH-001354,0.377105383015
ACH-001367,0.0630907134831
ACH-001368,0.0294867728178
ACH-001374,-0.0592678306855
ACH-001375,0.0763917048992
ACH-001377,0.100091728406
ACH-001380,0.08898405502139999
ACH-001391,0.231114249681
ACH-001407,0.08893323718110001
ACH-001408,0.093968594861
ACH-001413,0.20463727524
ACH-001430,0.08031928556460001
ACH-001431,0.22469001092799998
ACH-001450,-0.0012211132306300001
ACH-001496,0.39580885040299996
ACH-001500,0.35872996472900004
ACH-001521,0.39947712313
ACH-001523,0.18277824007
ACH-001532,0.0838537030816
ACH-001536,0.155636772486
ACH-001550,0.49941882306
ACH-001552,-0.0522470586938
ACH-001554,0.20398726321400001
ACH-001645,0.169099111276
ACH-001654,0.16810657656800002
ACH-001715,0.0689110230013
ACH-001735,0.272556988595
ACH-001736,0.0331061969215
ACH-001737,0.0346644292854
ACH-001740,0.151945533928
ACH-001745,0.245189835062
ACH-001750,0.22202367866300002
ACH-001765,0.13373132563200002
ACH-001956,0.09086008844460002
ACH-001957,0.128694440429
