,TP53TG5 (27296)
ACH-001407,0.0595705546426
ACH-001408,0.056385740006999995
ACH-001413,0.0492972705884
ACH-001430,0.12209477947000001
ACH-001431,0.0920910473165
ACH-001450,-0.08596836674210001
ACH-001496,-0.0979077822538
ACH-001500,0.0830432872003
ACH-001521,0.22329183627500002
ACH-001523,0.07697019411969999
ACH-001532,-0.0049350379469700004
ACH-001536,0.220855058849
ACH-001550,0.2073889617
ACH-001552,0.209699913618
ACH-001554,0.24313955816
ACH-001645,0.13744407421399998
ACH-001654,0.0928034484103
ACH-001715,-0.123980175344
ACH-001735,0.190947673783
ACH-001736,0.00834292216134
ACH-001737,0.424255280669
ACH-001740,0.27497573833
ACH-001745,0.09671281441940001
ACH-001750,-0.200165333557
ACH-001765,0.300371622668
ACH-001956,0.0603168616016
ACH-001957,0.20204318179699998
