,ARF3 (377)
ACH-000929,-0.40011709270199997
ACH-000932,-0.224354176295
ACH-000935,-0.39924227796800005
ACH-000936,-0.195318843427
ACH-000937,-0.25211663186
ACH-000938,-0.0245891755467
ACH-000939,-0.43964176413
ACH-000941,-0.312768197142
ACH-000943,-0.330678447875
ACH-000946,-0.24502617640000002
ACH-000947,-0.256628120538
ACH-000948,-0.17922573606199999
ACH-000950,-0.323513453862
ACH-000953,-0.315382364456
ACH-000957,-0.275836961961
ACH-000958,-0.32398937732
ACH-000960,-0.166768228239
ACH-000963,-0.51952346325
ACH-000968,-0.34429027976
ACH-000969,-0.37146919786399996
ACH-000973,-0.34693393673399997
ACH-000974,-0.290236490512
ACH-000975,-0.29939230712
ACH-000976,-0.328923041401
ACH-000978,-0.28525839620099996
ACH-000980,-0.24893611829999998
ACH-000984,-0.42340804710999996
ACH-000986,-0.174268502691
ACH-000988,-0.167904462302
ACH-000993,0.0399375668998
ACH-000994,-0.48629555852399997
ACH-000996,-0.0797773955552
ACH-001001,-0.328439431166
ACH-001020,-0.060167292126699995
ACH-001028,-0.261790559793
ACH-001031,-0.363399072501
ACH-001038,-0.274392107075
ACH-001048,-0.31033416478799997
ACH-001050,-0.28767765253600003
ACH-001053,-0.24024285457400002
ACH-001054,-0.249469729516
ACH-001061,-0.2550346237
ACH-001067,-0.137010124774
ACH-001075,-0.33794521016
ACH-001096,-0.202941635656
ACH-001128,-0.45389852829599997
ACH-001134,-0.280017202927
ACH-001151,-0.377777392277
ACH-001163,-0.447065136749
ACH-001164,0.10240704142200001
ACH-001173,-0.24183621813099998
ACH-001183,-0.26841672381299997
ACH-001184,-0.0390634236139
ACH-001190,-0.226368024621
ACH-001192,-0.48321325479099997
ACH-001193,0.07823669267819999
ACH-001196,-0.223308652093
ACH-001197,-0.370189936241
ACH-001205,-0.328088968492
ACH-001211,-0.0040728644195
ACH-001212,-0.118945238708
ACH-001228,-0.25687218160799996
ACH-001232,-0.15800570961
ACH-001239,-0.282511406034
ACH-001274,-0.45729159826399995
ACH-001275,-0.472106543878
ACH-001277,-0.32193887671300003
ACH-001278,-0.0889593570742
ACH-001280,-0.614723516812
ACH-001283,-0.30318466402800004
ACH-001289,-0.167075366187
ACH-001295,-0.125060839654
ACH-001300,-0.524575365666
