,MIP (4284)
ACH-001190,-0.25085198917199997
ACH-001192,-0.17150350457199998
ACH-001193,-0.806534354991
ACH-001196,0.0658104751233
ACH-001197,-0.11015428159299999
ACH-001205,-0.008897321433569999
ACH-001211,-0.0512718914011
ACH-001212,-0.159147798908
ACH-001228,0.0414119112141
ACH-001232,-0.059828573077
ACH-001239,0.08658359392719998
ACH-001274,-0.09452539756200001
ACH-001275,0.23590585503800002
ACH-001277,0.055030299248800006
ACH-001278,-0.209351771593
ACH-001280,-0.0243399188078
ACH-001283,0.13534571697699999
ACH-001289,-0.10393854643200001
ACH-001295,-0.0273829347627
ACH-001300,-0.14585798548599999
ACH-001301,-0.121549226067
ACH-001302,-0.304032515181
ACH-001303,-0.133634628939
ACH-001306,0.06443690765019999
ACH-001318,-0.226497415113
ACH-001322,0.0743615356885
ACH-001328,-0.152386259255
ACH-001332,0.07394853550580001
ACH-001333,-0.180172642868
ACH-001336,-0.12403182699000001
ACH-001340,-0.0744611981297
ACH-001346,-0.15463238894099998
ACH-001353,-0.103827321017
ACH-001354,0.0715924415092
ACH-001367,-0.946118452488
ACH-001368,-0.0599474971156
ACH-001374,-0.208380041912
ACH-001375,-0.22011687812800002
ACH-001377,-0.119356421396
ACH-001380,-0.0227981723611
ACH-001391,0.130299619832
ACH-001407,-0.169968052751
ACH-001408,-0.181584183092
ACH-001413,-0.006082599459130001
ACH-001430,-0.25000731947099997
ACH-001431,-0.126375693521
ACH-001450,-0.115077621246
ACH-001496,-0.19337424691500002
ACH-001500,0.0554284387517
ACH-001521,0.18855433015999998
ACH-001523,-0.0772556692139
ACH-001532,-0.0303173294123
ACH-001536,0.059566331120999995
ACH-001550,-0.239485572082
ACH-001552,-0.09643747602439999
ACH-001554,-0.018769058359299998
ACH-001645,0.0418449407617
ACH-001654,-0.109990313093
ACH-001715,-0.324823201121
ACH-001735,-0.152347699864
ACH-001736,-0.116176882432
ACH-001737,-0.643021971136
ACH-001740,-0.169977091184
ACH-001745,0.0165466770917
ACH-001750,-0.145214720577
ACH-001765,-0.086678237191
ACH-001956,-0.150435152583
ACH-001957,-0.11674119883199999
