,POLD2 (5425)
ACH-000915,-0.933278202547
ACH-000916,-0.565428920835
ACH-000917,-0.7293706030120001
ACH-000921,-0.929143259556
ACH-000924,-0.8487890897660001
ACH-000926,-0.9774985372689999
ACH-000928,-0.912663445766
ACH-000929,-0.748567196583
ACH-000932,-0.9989282956319999
ACH-000935,-0.6806673391060001
ACH-000936,-0.8958849831910001
ACH-000937,-0.972219850606
ACH-000938,-0.9285358416220001
ACH-000939,-0.981046779007
ACH-000941,-0.7610527308439999
ACH-000943,-0.800966884754
ACH-000946,-0.9038850049959999
ACH-000947,-0.7711742887530001
ACH-000948,-0.729171252159
ACH-000950,-0.858925597655
ACH-000953,-0.812190085857
ACH-000957,-0.978617897595
ACH-000958,-0.645693810999
ACH-000960,-0.645563670493
ACH-000963,-0.73853607071
ACH-000968,-0.940726860551
ACH-000969,-0.803440814743
ACH-000973,-0.971961276804
ACH-000974,-0.926017869517
ACH-000975,-0.911070200801
ACH-000976,-0.860099571927
ACH-000978,-1.4930147753100003
ACH-000980,-0.9236465037430001
ACH-000984,-1.00827474676
ACH-000986,-0.877800065399
ACH-000988,-0.912523958396
ACH-000993,-0.691769631813
ACH-000994,-0.7196118399889999
ACH-000996,-0.7625275909129999
ACH-001001,-0.812968182693
ACH-001020,-0.947848836472
ACH-001028,-0.8827516658
ACH-001031,-0.951773778533
ACH-001038,-0.996338901986
ACH-001048,-1.00342524404
ACH-001050,-0.814244883555
ACH-001053,-0.5790466385149999
ACH-001054,-0.868073827726
ACH-001061,-0.7796801689380001
ACH-001067,-0.6881387531090001
ACH-001075,-0.7631194921009999
ACH-001096,-0.874126312383
ACH-001128,-0.74118078588
ACH-001134,-1.03465243838
ACH-001151,-0.889249574463
ACH-001163,-0.991602738112
ACH-001164,-0.7671447920290001
ACH-001173,-0.861190873741
ACH-001183,-0.8569366336049999
ACH-001184,-0.8784014633670001
ACH-001190,-1.11283869183
ACH-001192,-1.0
ACH-001193,-1.02857974615
ACH-001196,-0.816214037199
ACH-001197,-0.782281197162
ACH-001205,-0.765296978867
ACH-001211,-1.0
ACH-001212,-0.77321583927
ACH-001228,-1.03586398316
ACH-001232,-1.14754464262
ACH-001239,-0.859516783916
ACH-001274,-1.04715597225
ACH-001275,-0.981292806995
ACH-001277,-1.09546313131
ACH-001278,-1.0055893064299999
ACH-001280,-1.09711836083
ACH-001283,-1.04204055073
ACH-001289,-0.9478248466470001
ACH-001295,-0.961774048362
ACH-001300,-0.899387399829
ACH-001301,-1.1404983806
ACH-001302,-1.14187862151
ACH-001303,-0.761988204533
ACH-001306,-1.20567733937
ACH-001318,-0.6845979345890001
ACH-001322,-1.12662072222
ACH-001328,-1.06926303839
ACH-001332,-0.698609398417
ACH-001333,-1.0238817443000001
ACH-001336,-1.09105036727
ACH-001340,-0.951705714959
ACH-001346,-0.917555086899
ACH-001353,-0.9440779199429999
ACH-001354,-0.926151080265
ACH-001367,-0.842035412684
ACH-001368,-1.17788641994
ACH-001374,-0.614737608837
ACH-001375,-1.0447511164399998
ACH-001377,-0.8228222183689999
ACH-001380,-0.7945416101989999
ACH-001391,-0.904734268681
ACH-001407,-0.641456692082
ACH-001408,-0.9110902612630001
ACH-001413,-0.8652276719580001
ACH-001430,-0.963540784252
ACH-001431,-0.790601324393
ACH-001450,-1.0953676431200001
ACH-001496,-1.06561042127
ACH-001500,-0.952488440541
ACH-001521,-1.19832430346
ACH-001523,-1.02625283025
ACH-001532,-0.699359296382
ACH-001536,-1.11758123762
ACH-001550,-1.2757997797
ACH-001552,-0.9320690257529999
ACH-001554,-0.7635766279170001
ACH-001645,-0.8617295529369999
ACH-001654,-0.8155954281929999
ACH-001715,-0.9582240605750001
ACH-001735,-1.24103261314
ACH-001736,-0.7143252958
ACH-001737,-0.328291658424
ACH-001740,-0.92591492564
ACH-001745,-1.096647958
ACH-001750,-0.871656915786
ACH-001765,-0.8378798759999999
ACH-001956,-0.9527491607009999
ACH-001957,-0.633031199554
