,WDR60 (55112)
ACH-001431,0.303979380669
ACH-001450,0.26272983288
ACH-001496,0.246318707928
ACH-001500,0.070305284313
ACH-001521,0.365639597702
ACH-001523,0.358591406395
ACH-001532,0.380331069874
ACH-001536,0.132101764064
ACH-001550,0.46608889425
ACH-001552,0.288116907482
ACH-001554,0.388465069369
ACH-001645,0.359314542817
ACH-001654,0.31867570754200003
ACH-001715,0.274215541785
ACH-001735,0.145167368982
ACH-001736,0.35685278958000005
ACH-001737,0.518913626458
ACH-001740,0.549657228668
ACH-001745,0.301984820155
ACH-001750,0.309427995488
ACH-001765,0.322011232196
ACH-001956,0.317693880696
ACH-001957,0.41336022437799996
